"Gene.Name","EV-R1","EV-R2","EV-R3","KO-R1","KO-R2","KO-R3"
"SFT2D3",45,29,28,27,26,35
"SFT2D3",57,48,54,42,69,58
"WDR33",40,34,35,27,32,35
"POLR2D",6,8,5,5,6,11
"SAP130",2,1,0,2,2,0
"UGGT1",75,75,73,71,60,59
"HS6ST1",9,6,3,1,2,5
"MZT2B",223,98,134,76,108,94
"PTPN18",13,13,20,12,12,8
"FAM168B",9,14,6,10,5,4
"FAM168B",127,80,99,68,76,57
"MZT2A",119,85,92,74,96,78
"GPR39",6,4,3,2,1,1
"LYPD1",18,13,13,0,2,0
"NCKAP5-AS2",4,5,4,1,0,0
"NCKAP5-AS2",8,9,5,2,2,3
"NCKAP5",8,7,8,0,0,2
"NCKAP5",1,1,1,0,1,0
"NCKAP5",0,0,0,0,1,0
"MGAT5",2,2,9,2,2,2
"CCNT2-AS1",4,7,6,4,3,9
"RAB3GAP1",19,20,30,17,9,23
"ZRANB3",1,0,2,0,1,3
"UBXN4",43,48,26,39,41,39
"DARS",104,99,105,66,78,72
"CXCR4",0,1,0,0,0,0
"THSD7B",0,0,0,0,0,0
"THSD7B",0,0,1,0,0,0
"THSD7B",0,0,1,0,0,0
"LOC101928273",0,0,0,1,0,2
"HNMT",3,2,4,4,0,5
"LINC01832",4,3,4,4,3,4
"SPOPL",11,11,9,7,4,2
"SPOPL",15,15,17,10,9,9
"GTDC1",0,1,0,2,0,2
"PABPC1P2",0,0,1,0,0,1
"PABPC1P2",0,0,0,0,0,0
"PABPC1P2",0,0,0,0,0,0
"PABPC1P2",0,0,0,0,0,0
"PABPC1P2",0,0,0,0,0,0
"ACVR2A",0,0,0,0,0,0
"ACVR2A",0,1,1,0,0,0
"ACVR2A",0,0,0,0,0,0
"ACVR2A",3,4,4,3,5,5
"ACVR2A",194,194,187,130,121,119
"ORC4",45,36,45,36,33,30
"EPC2",68,55,61,38,35,42
"LYPD6B",12,9,11,2,8,5
"LYPD6B",4,6,9,2,1,0
"LYPD6",1,2,7,1,1,1
"LYPD6",14,7,9,7,5,4
"LYPD6",24,22,33,9,6,6
"LYPD6",17,13,17,7,5,5
"LYPD6",17,9,17,4,5,6
"LYPD6",7,11,7,1,2,1
"MMADHC",76,66,78,45,61,47
"LINC01931",0,0,1,0,0,0
"LINC01817",0,0,1,0,0,1
"LINC01817",0,0,0,1,1,0
"LINC01817",0,0,1,2,1,1
"LINC01817",0,0,0,2,0,1
"RND3",0,0,0,0,0,0
"RND3",0,0,0,0,0,0
"LINC02612",1,1,1,0,0,0
"RBM43",2,3,2,1,2,0
"RIF1",52,46,42,17,17,15
"NEB",1,2,0,0,0,1
"NEB",1,0,2,0,0,2
"ARL5A",20,8,15,8,18,11
"STAM2",3,7,8,4,6,4
"FMNL2",54,39,37,25,21,19
"FMNL2",17,16,13,10,11,5
"FMNL2",12,4,3,9,6,6
"FMNL2",2,4,7,2,1,1
"PRPF40A",114,105,81,61,56,36
"LOC100144595",12,4,16,0,8,5
"LOC100144595",3,7,7,6,2,4
"LINC01876",5,8,7,3,3,3
"NR4A2",2,2,1,1,3,2
"FLJ46875",6,2,5,4,8,2
"GPD2",3,0,1,1,2,0
"GPD2",6,6,13,3,6,2
"GALNT5",0,1,0,0,0,0
"ACVR1",20,19,22,16,15,14
"ACVR1",43,47,33,16,17,16
"ACVR1",1,1,1,0,1,1
"UPP2",1,4,2,2,3,0
"UPP2",8,7,15,7,5,3
"CCDC148",3,8,9,7,10,7
"PKP4",44,23,28,23,21,15
"PKP4",30,23,32,34,20,20
"TANC1",17,12,15,17,5,20
"MIR6888",11,1,5,8,8,9
"WDSUB1",0,0,0,1,1,0
"BAZ2B",13,14,11,10,5,4
"BAZ2B",42,33,37,40,27,26
"LINC02478",9,1,5,4,1,1
"MIR4785",3,2,7,1,4,2
"RBMS1",14,13,12,5,6,4
"TANK",0,1,1,0,0,0
"TANK",96,102,99,54,52,55
"PSMD14",404,361,346,262,284,234
"IFIH1",17,13,16,12,8,3
"GCA",28,45,33,19,17,17
"LOC101929570",0,0,0,0,2,0
"LOC101929570",0,0,0,1,1,1
"FIGN",1,0,2,0,3,1
"FIGN",3,0,1,0,1,0
"FIGN",134,119,113,87,77,71
"FIGN",8,5,6,4,3,4
"FIGN",1,0,0,1,2,0
"GRB14",49,36,35,29,28,24
"SNORA70F",96,102,98,229,181,190
"SNORA70F",129,122,132,246,260,238
"SNORA70F",83,78,91,58,61,62
"COBLL1",58,29,44,76,80,71
"SLC38A11",4,2,5,4,4,3
"SLC38A11",11,6,5,9,12,6
"SLC38A11",15,2,10,3,7,6
"SCN1A",0,0,2,2,0,3
"SCN1A",15,23,14,16,7,14
"SCN1A",48,32,45,26,26,32
"SCN9A",94,59,71,41,33,36
"SCN7A",0,0,1,4,4,2
"XIRP2",2,0,2,1,5,0
"XIRP2",1,1,1,1,5,5
"XIRP2",19,2,5,1,4,1
"XIRP2",9,14,13,12,6,6
"B3GALT1",27,21,24,11,7,7
"B3GALT1",10,10,15,8,6,4
"B3GALT1",3,4,1,0,1,1
"B3GALT1",1,0,2,0,3,0
"FAM49A",0,0,1,0,1,0
"STK39",22,13,15,6,3,11
"STK39",46,25,23,7,5,8
"CERS6",30,16,22,11,19,11
"CERS6-AS1",2,1,0,0,0,0
"NOSTRIN",8,11,10,6,9,10
"NOSTRIN",11,9,9,3,7,15
"SPC25",73,46,56,89,83,70
"PPIG",43,47,29,22,24,28
"CCDC173",4,2,2,1,3,3
"PHOSPHO2",31,24,41,13,15,17
"KLHL23",99,98,83,56,51,33
"KLHL23",4,2,5,3,1,4
"SSB",56,50,60,29,46,39
"METTL5",34,27,34,21,34,24
"UBR3",20,7,6,5,14,10
"MYO3B-AS1",3,1,1,0,4,0
"LINC01124",11,7,8,7,4,4
"GAD1",19,11,7,2,3,2
"GORASP2",1,1,3,5,4,2
"GORASP2",2,3,3,1,2,2
"TLK1",64,44,48,33,41,30
"TLK1",1,2,2,2,1,1
"TLK1",3,0,0,0,1,0
"DCAF17",6,12,7,5,9,6
"DYNC1I2",52,70,45,25,33,30
"HAT1",11,6,5,10,11,4
"ITGA6",0,0,1,0,0,0
"ITGA6",54,34,24,21,20,18
"PDK1",5,2,2,1,4,6
"MAP3K20",2,6,3,4,4,2
"MAP3K20",0,0,0,0,0,0
"MAP3K20",24,17,18,8,13,17
"CDCA7",17,17,22,11,11,12
"SP3",108,71,82,57,47,50
"LINC01960",0,1,0,1,0,0
"LINC01960",0,2,1,0,0,0
"OLA1",30,38,33,30,36,19
"ATF2",0,6,1,3,3,2
"ATP5MC3",208,185,181,95,168,119
"VSNL1",15,26,24,13,9,9
"LNPK",21,23,16,16,18,11
"MTX2",129,105,98,94,87,72
"LOC105373759",2,0,0,2,1,0
"LOC105373759",0,0,0,0,0,0
"LOC105373759",1,0,0,0,0,0
"LOC105373759",4,1,2,1,1,1
"HNRNPA3",2,1,3,2,0,0
"NFE2L2",83,76,71,116,62,87
"NFE2L2",34,20,22,30,23,14
"AGPS",111,62,79,55,62,51
"AGPS",15,14,22,12,8,22
"GEN1",13,17,15,14,12,12
"TTC30B",15,16,17,6,5,4
"TTC30A",6,11,10,2,4,4
"OSBPL6",6,3,4,2,1,0
"CHROMR",7,6,2,6,0,2
"PJVK",10,5,7,2,4,3
"FKBP7",5,3,6,1,1,3
"SESTD1",35,18,21,14,12,13
"ZNF385B",1,1,3,0,2,1
"ZNF385B",2,1,3,2,0,1
"ZNF385B",7,5,2,11,8,5
"CWC22",14,21,15,7,12,4
"SCHLAP1",0,0,1,0,0,0
"SCHLAP1",2,1,2,1,0,0
"SCHLAP1",0,1,0,0,0,0
"UBE2E3",38,26,23,20,13,12
"ITPRID2",2,1,7,4,3,3
"ITPRID2",3,4,5,1,2,2
"ITPRID2",54,27,31,5,21,13
"PPP1R1C",43,36,62,38,39,46
"DNAJC10",14,11,21,16,16,16
"NCKAP1",5,7,5,5,10,7
"NUP35",23,21,25,14,18,16
"RDH14",34,13,14,7,6,13
"ZC3H15",217,190,190,167,175,161
"ITGAV",1,2,0,0,1,6
"ITGAV",79,82,83,57,65,70
"TFPI",12,18,10,11,14,18
"TFPI",40,43,46,49,35,38
"TFPI",280,302,268,228,244,222
"GULP1",54,34,55,33,31,23
"DIRC1",3,0,0,0,0,1
"COL5A2",121,128,110,467,449,419
"COL5A2",0,0,1,1,2,2
"WDR75",10,8,7,13,12,4
"SLC40A1",2,0,0,2,4,4
"SLC40A1",1,0,1,0,0,0
"SLC40A1",18,18,7,21,12,19
"SLC40A1",2,0,3,0,6,5
"ASDURF",92,47,74,63,64,69
"ANKAR",10,9,6,1,1,5
"OSGEPL1-AS1",26,11,19,18,6,15
"ORMDL1",37,35,40,16,16,21
"C2orf88",1,3,2,2,2,1
"HIBCH",8,13,13,9,11,10
"INPP1",11,8,6,6,4,4
"INPP1",17,13,10,4,15,10
"INPP1",7,9,3,1,5,5
"NEMP2",20,17,15,13,16,9
"NEMP2",294,237,242,103,102,96
"NEMP2",25,18,24,18,24,37
"NAB1",10,9,6,8,4,8
"GLS",0,2,4,10,9,6
"GLS",115,66,77,62,58,62
"STAT1",92,61,72,38,47,38
"LOC105373805",0,1,5,2,3,0
"LOC105373805",7,13,7,5,9,5
"LOC105373805",1,0,0,0,0,0
"MYO1B",0,1,1,2,1,0
"MYO1B",2,0,0,0,0,2
"LINC01376",0,0,0,1,2,1
"NABP1",2,0,2,0,2,0
"NABP1",38,34,39,31,32,34
"CAVIN2",62,54,51,30,41,66
"CAVIN2",18,18,16,30,36,20
"CAVIN2",5,8,12,12,7,18
"TMEFF2",2,1,2,1,2,4
"PCGEM1",0,0,0,0,1,0
"PCGEM1",0,0,0,0,0,0
"SLC39A10",15,19,12,8,11,9
"DNAH7",1,0,0,0,0,0
"STK17B",57,56,59,29,18,24
"HECW2",2,1,1,0,1,0
"GTF3C3",98,87,72,52,59,54
"LOC101927596",0,0,2,2,1,0
"SF3B1",29,26,32,16,30,22
"COQ10B",5,1,2,2,4,2
"HSPD1",108,70,77,44,56,49
"MOB4",26,12,11,12,13,16
"RFTN2",0,0,0,0,0,0
"TTC32",31,31,29,16,32,14
"SATB2",5,8,6,16,17,23
"SATB2",1,2,5,0,1,2
"C2orf69",0,5,1,0,3,1
"TYW5",42,41,41,24,33,25
"TYW5",1,1,1,0,0,1
"SPATS2L",1,0,0,1,0,0
"SPATS2L",1,1,0,0,0,0
"SPATS2L",123,78,94,63,63,71
"SPATS2L",80,67,83,74,53,46
"SPATS2L",64,45,65,34,35,34
"KCTD18",2,1,0,2,3,0
"LAPTM4A",21,9,11,4,7,5
"SGO2",14,11,14,16,11,17
"AOX1",0,1,0,0,2,6
"LINC01792",0,0,0,0,0,0
"LINC01792",0,0,0,0,0,1
"BZW1",5,3,3,4,2,4
"CLK1",29,21,23,14,19,20
"NIF3L1",20,22,13,12,21,10
"ORC2",42,43,46,15,25,26
"FAM126B",16,10,16,10,5,16
"CFLAR",106,80,94,56,61,54
"CFLAR-AS1",11,4,15,11,5,4
"STRADB",19,9,9,7,11,5
"TMEM237",4,7,11,6,3,3
"ALS2",20,24,31,16,10,10
"ALS2",7,9,13,12,8,4
"ALS2",6,6,4,1,4,0
"SUMO1",260,239,199,159,150,178
"NOP58",159,141,145,134,156,111
"BMPR2",13,9,10,5,7,2
"CARF",71,49,59,40,34,38
"NBEAL1",2,2,1,0,0,1
"CYP20A1",58,49,56,37,52,27
"ABI2",4,8,1,2,2,1
"PUM2",13,4,6,6,8,5
"RAPH1",1,0,1,2,1,0
"CD28",1,0,0,0,2,2
"CTLA4",0,0,0,2,1,0
"RHOB",1,0,1,0,0,0
"PARD3B",0,0,0,0,2,0
"RHOB",449,362,374,239,271,176
"PARD3B",25,22,18,16,15,9
"PARD3B",9,10,12,13,7,18
"PARD3B",8,8,5,4,4,12
"PARD3B",3,7,14,7,4,5
"NRP2",13,12,10,8,4,6
"NRP2",7,6,7,3,5,6
"NRP2",6,5,7,4,2,6
"HS1BP3-IT1",0,3,0,0,0,0
"HS1BP3-IT1",4,4,4,1,0,3
"HS1BP3-IT1",5,0,1,1,2,3
"INO80D",1,0,3,4,0,1
"INO80D",35,36,31,29,19,22
"EEF1B2",147,137,138,105,154,125
"HS1BP3",10,8,6,1,1,1
"HS1BP3",2,1,1,0,1,0
"FASTKD2",9,8,12,11,1,1
"KLF7",11,1,1,0,0,1
"CREB1",61,51,46,17,23,23
"METTL21A",10,4,2,3,3,4
"CCNYL1",2,2,2,0,1,0
"MIR4775",16,16,18,12,11,22
"FZD5",316,139,173,140,141,141
"FZD5",1,0,2,0,0,1
"FZD5",3,2,1,0,0,0
"FZD5",0,2,0,0,0,0
"FZD5",10,3,4,1,4,0
"FZD5",18,11,7,16,8,17
"FZD5",4,3,1,2,1,0
"FZD5",9,10,5,3,8,4
"FZD5",6,8,7,5,4,7
"PLEKHM3",6,2,4,9,9,4
"PLEKHM3",2,4,5,3,8,5
"PLEKHM3",3,3,4,2,4,2
"PLEKHM3",4,3,4,5,0,1
"PLEKHM3",22,15,17,15,10,14
"LDAH",7,14,12,4,4,4
"IDH1",209,272,224,277,308,240
"PIKFYVE",1,1,2,0,0,0
"MAP2",3,1,3,2,1,0
"RPE",49,53,51,37,40,37
"KANSL1L",1,1,0,0,2,0
"APOB",212,208,203,279,234,254
"CPS1",1,0,0,6,8,6
"APOB",2,0,0,2,0,0
"TDRD15",0,0,0,2,0,2
"CPS1-IT1",0,5,6,2,1,0
"CPS1-IT1",1,2,1,1,0,0
"",2,3,5,3,2,2
"SPAG16-DT",0,1,0,1,2,0
"VWC2L-IT1",1,4,2,0,1,0
"VWC2L-IT1",4,0,4,0,1,0
"BARD1",3,6,8,2,0,1
"SNHG31",0,0,0,0,1,1
"ATIC",40,36,36,38,35,51
"FN1",2608,2335,2279,1958,1607,1696
"FN1",85,84,70,60,33,31
"LINC01614",0,1,1,0,0,0
"MREG",5,5,5,1,2,5
"PECR",13,12,12,16,13,13
"PECR",75,57,60,81,81,68
"XRCC5",128,130,113,59,80,65
"XRCC5",43,58,27,25,22,29
"SMARCAL1",12,14,14,4,6,13
"RPL37A",50,43,55,36,62,45
"DIRC3-AS1",1,0,0,0,0,0
"MIR6809",4,5,4,3,6,1
"TMBIM1",9,8,5,2,5,1
"PNKD",2,3,2,4,8,4
"CTDSP1",33,33,35,26,26,18
"MIR26B",7,8,5,6,3,8
"VIL1",32,29,38,26,28,21
"",17,13,11,9,10,8
"STK36",6,7,9,4,2,7
"TTLL4",36,23,24,21,23,18
"CYP27A1",34,27,36,17,22,20
"LOC100129175",1,1,0,2,1,4
"CNPPD1",7,8,13,6,8,7
"ZFAND2B",5,2,5,2,4,1
"ATG9A",22,13,16,10,10,10
"STK16",9,4,6,10,8,8
"DNAJB2",1,1,0,0,1,0
"DNAJB2",27,21,33,18,22,22
"TMEM198",3,3,4,2,1,1
"OBSL1",36,26,26,13,10,4
"STK11IP",14,8,14,4,9,2
"LINC01822",0,0,0,1,1,0
"FARSB",29,29,29,33,30,35
"ACSL3",1,0,1,0,0,0
"ACSL3",0,1,1,2,1,2
"ACSL3",0,0,0,0,1,2
"ACSL3",1,1,0,2,1,4
"ACSL3",171,147,130,112,122,124
"AP1S3",2,10,4,1,8,7
"AP1S3",73,59,50,57,57,45
"AP1S3",5,4,7,5,1,2
"WDFY1",11,8,12,6,11,3
"WDFY1",99,82,105,68,90,51
"MRPL44",51,44,33,43,33,30
"SERPINE2",0,3,2,3,3,0
"LOC646736",0,0,0,0,0,0
"MIR5702",0,0,0,0,0,0
"MIR5702",0,0,0,0,0,0
"IRS1",212,191,179,139,95,136
"IRS1",12,10,7,8,11,8
"RHBDD1",5,2,6,7,2,5
"MFF",164,122,136,97,116,95
"MIR5703",1,0,0,1,3,2
"AGFG1",18,9,11,2,6,7
"CCL20",69,59,66,275,259,273
"CCL20",1,1,0,1,2,2
"PID1",1,3,2,0,4,3
"PID1",4,5,3,2,3,4
"TRIP12",12,22,7,14,4,5
"CAB39",20,10,11,13,13,13
"CAB39",12,12,9,11,11,10
"C2orf72",58,27,35,26,28,26
"PSMD1",50,34,34,18,21,12
"PSMD1",199,164,172,125,109,127
"NCL",536,453,397,417,392,412
"TEX44",7,7,1,0,4,2
"PTMA",1,4,6,5,1,0
"PTMA",375,380,328,182,215,166
"COPS7B",20,18,11,14,14,12
"DIS3L2",10,10,9,3,2,4
"EIF4E2",29,22,27,18,23,18
"EIF4E2",9,12,8,10,8,5
"GIGYF2",12,3,4,7,8,4
"SNORC",364,336,333,272,246,250
"SNORC",16,11,11,13,7,14
"NGEF",65,60,54,53,36,26
"DGKD",1,0,0,0,0,1
"USP40",4,1,4,0,1,2
"USP40",26,20,18,19,19,10
"UGT1A6",1,0,2,0,0,0
"HJURP",79,61,68,56,65,40
"TRPM8",0,0,0,2,0,1
"LINC01173",0,0,1,0,0,1
"SH3BP4",2,1,0,1,2,0
"SH3BP4",3,2,3,1,0,1
"",33,23,20,7,10,9
"",9,8,5,4,3,5
"ACKR3",0,0,0,0,0,0
"COPS8",24,19,27,20,16,19
"MLPH",1,0,0,2,0,0
"RAB17",156,137,139,94,92,74
"LRRFIP1",0,0,0,1,0,0
"LRRFIP1",23,13,14,8,5,11
"LRRFIP1",17,8,14,15,8,15
"SCLY",0,1,0,2,1,0
"ILKAP",29,32,23,16,33,22
"ASB1",14,18,11,7,16,8
"ASB1",12,10,10,2,0,7
"TWIST2",1,0,0,0,0,1
"ATAD2B",21,17,21,11,27,17
"HDAC4-AS1",5,5,6,1,0,2
"UBXN2A",53,34,34,24,24,21
"NDUFA10",37,41,27,27,28,24
"MFSD2B",0,1,2,0,1,0
"ANKMY1",15,10,15,11,8,10
"CAPN10",6,4,3,9,6,1
"GPR35",5,2,8,2,4,1
"TP53I3",160,139,136,101,102,76
"MAB21L4",2,0,1,2,1,2
"MTERF4",7,0,3,4,5,4
"HDLBP",16,21,13,13,7,12
"HDLBP",143,156,115,78,62,53
"FARP2",38,36,45,31,19,28
"STK25",31,15,22,25,15,12
"BOK-AS1",49,23,39,4,2,6
"THAP4",51,59,42,25,35,25
"DTYMK",148,130,130,79,84,65
"ING5",1,3,2,0,0,0
"D2HGDH",51,33,45,34,18,23
"GAL3ST2",18,10,13,7,2,5
"LINC01880",3,2,1,2,5,2
"LINC01880",4,0,0,3,2,1
"LINC01880",2,3,0,1,2,0
"LINC01880",3,6,9,4,5,7
"LINC01881",2,4,4,4,2,1
"ITSN2",25,22,18,2,8,4
"CENPO",177,124,145,82,74,86
"DNMT3A",30,30,28,28,18,25
"RAB10",71,59,61,39,57,34
"HADHB",31,36,30,8,15,16
"ADGRF3",1,1,0,2,4,0
"SH3YL1",36,33,30,25,19,20
"CENPA",7,3,5,3,1,0
"KHK",5,5,7,4,5,0
"KHK",11,8,3,9,12,9
"KHK",5,10,5,5,11,6
"SLC5A6",255,230,188,123,165,118
"CAD",72,74,69,52,56,58
"GTF3C2",27,21,23,17,21,19
"SNX17",19,19,22,18,29,16
"ZNF513",31,49,39,23,18,22
"PPM1G",42,21,23,18,28,25
"NRBP1",19,16,9,13,17,9
"SUPT7L",106,79,101,58,61,57
"MRPL33",26,14,20,12,13,15
"MRPL33",2,1,6,0,0,3
"FOSL2",3,2,5,2,0,0
"PPP1CB",4,2,6,1,5,4
"WDR43",36,40,31,24,38,31
"MEMO1",1,2,4,1,5,2
"MEMO1",7,2,1,1,1,3
"SPAST",1,9,4,4,1,1
"SLC30A6",7,6,7,4,5,12
"BIRC6",37,17,22,20,23,25
"LTBP1",31,26,24,2,5,4
"LTBP1",4,3,5,0,1,0
"LTBP1",368,296,327,51,51,50
"MIR4430",3,6,7,1,1,1
"TRAPPC12",37,25,29,18,22,26
"ADI1",158,145,126,145,166,147
"ADI1",4,2,2,3,0,2
"RNASEH1-AS1",2,3,6,1,1,3
"RPS7",43,36,32,40,48,43
"CRIM1",19,25,35,13,18,15
"RMDN2",5,2,4,5,5,4
"CYP1B1",1,2,0,1,0,0
"ATL2",42,27,26,28,22,24
"LINC01883",0,0,0,0,0,1
"LINC01883",0,0,0,0,1,0
"HNRNPLL",44,30,34,19,12,26
"SRSF7",493,457,441,291,345,304
"SOS1",5,4,10,4,7,3
"MAP4K3",7,4,9,1,3,5
"MAP4K3-DT",1,0,0,3,1,1
"THUMPD2",17,14,19,8,18,7
"SLC8A1-AS1",0,0,1,0,0,0
"LINC01913",1,0,0,1,1,0
"LINC01913",1,0,1,3,0,0
"LINC01913",0,0,0,0,0,0
"PKDCC",8,6,5,4,11,6
"PKDCC",0,2,1,0,0,0
"EML4",3,0,2,0,0,0
"EML4",451,353,359,186,205,144
"LOC102723824",25,30,22,23,9,18
"LOC102723824",21,21,25,16,15,13
"LOC102723824",28,29,32,28,12,19
"COX7A2L",15,23,32,20,23,16
"COX7A2L",1,1,1,0,2,0
"MTA3",1,2,2,1,1,1
"HAAO",16,9,13,14,15,7
"HAAO",30,9,13,4,14,9
"LINC01819",0,1,0,0,0,2
"LINC01819",5,5,2,6,4,4
"ZFP36L2",4,0,0,2,0,4
"ZFP36L2",6,8,10,8,8,10
"ZFP36L2",1,1,1,1,2,4
"ZFP36L2",10,10,19,3,4,3
"ZFP36L2",12,7,12,8,8,9
"LINC01126",8,3,4,2,0,0
"LINC01126",4,6,7,9,6,9
"THADA",9,12,17,15,16,12
"PLEKHH2",0,0,0,0,0,0
"ABCG5",7,10,14,7,6,9
"LRPPRC",1,0,3,1,1,2
"SLC3A1",270,258,264,211,215,216
"SLC3A1",0,1,0,0,1,0
"PREPL",15,11,17,10,20,7
"CAMKMT",5,0,2,0,0,1
"SIX2",0,0,2,1,1,0
"LINC01121",20,13,17,8,10,11
"LINC01121",5,4,1,3,1,2
"LINC01121",27,13,7,4,3,5
"LINC01121",8,10,4,1,2,4
"LINC01121",1,0,2,0,0,1
"LINC01121",9,16,10,5,3,8
"SRBD1",15,15,19,16,18,19
"SRBD1",17,12,17,17,11,19
"SRBD1",11,7,9,3,4,2
"PRKCE",4,0,2,2,4,1
"PRKCE",3,1,5,4,3,1
"PRKCE",4,6,3,4,2,1
"EPAS1",1,3,3,4,3,2
"EPAS1",1,0,0,0,0,0
"EPAS1",215,164,174,251,251,248
"EPAS1",26,20,29,36,25,24
"EPAS1",15,21,19,10,15,7
"EPAS1",21,11,7,10,6,16
"EPAS1",18,14,18,19,16,14
"LINC01820",2,0,0,2,0,0
"LINC02583",0,0,0,0,0,0
"RHOQ",32,30,33,13,16,13
"PIGF",20,22,13,10,18,16
"SOCS5",8,2,1,0,0,3
"FAM110C",0,1,0,1,1,0
"MCFD2",6,3,5,6,3,5
"MCFD2",75,54,58,41,34,32
"MCFD2",5,3,7,8,4,3
"STPG4",3,3,1,0,1,1
"CALM2",2,1,2,0,1,1
"CALM2",1,0,2,2,2,2
"CALM2",0,0,1,1,2,1
"CALM2",1,0,0,1,1,0
"EPCAM-DT",2,3,4,0,1,3
"EPCAM",202,118,160,94,135,117
"MSH2",56,34,49,32,28,23
"MSH6",50,46,49,22,47,39
"FBXO11",39,47,40,30,12,24
"FOXN2",4,3,2,2,4,3
"FOXN2",0,0,0,2,4,1
"FOXN2",0,0,0,0,2,2
"FOXN2",23,21,21,23,29,24
"PPP1R21",16,24,27,26,19,23
"PPP1R21",5,4,11,8,7,9
"PPP1R21",59,53,46,51,56,35
"STON1-GTF2A1L",4,4,6,9,5,7
"MIR8485",1,0,1,0,1,0
"NRXN1",0,1,0,0,0,0
"MIR4431",0,4,2,1,2,2
"MIR4431",0,0,1,0,0,0
"CHAC2",27,23,23,29,34,27
"ASB3",27,34,39,26,27,20
"MIR3682",1,3,5,2,1,1
"ACYP2",39,25,24,16,17,18
"SPTBN1",3,1,1,0,0,0
"RPL23AP32",8,13,11,16,6,9
"SPTBN1",15,5,7,9,8,7
"SPTBN1",710,654,636,453,431,419
"SPTBN1",69,37,76,44,41,40
"SPTBN1",71,57,57,62,43,51
"SPTBN1",39,40,35,48,26,37
"SPTBN1",53,46,40,44,30,36
"SPTBN1",77,69,72,55,49,41
"SPTBN1",1806,1539,1520,1480,1166,1208
"SPTBN1",23,38,23,21,15,28
"EML6",1231,1260,1151,885,933,928
"RTN4",296,244,246,108,118,130
"RTN4",5,3,2,6,0,6
"CLHC1",16,9,14,17,13,12
"MTIF2",7,10,7,2,5,2
"PRORSD1P",12,9,4,4,2,3
"CCDC88A",19,28,22,15,13,10
"PPP4R3B",34,38,29,27,20,27
"LOC100129434",0,0,0,0,3,1
"LOC100129434",0,0,0,0,0,0
"VRK2",0,1,0,0,0,0
"VRK2",2,1,0,0,1,1
"VRK2",16,12,14,12,11,7
"FANCL",83,69,103,54,37,48
"FANCL",61,51,55,27,32,23
"LINC01122",2,0,1,0,1,1
"LINC01122",7,5,2,0,3,1
"MIR4432HG",0,0,0,0,0,0
"MIR4432HG",0,0,0,0,1,1
"BCL11A",6,4,3,3,4,10
"BCL11A",7,4,1,1,3,1
"REL",36,31,25,35,23,26
"REL",9,10,9,18,15,16
"PEX13",100,90,81,48,46,60
"KIAA1841",15,7,7,4,7,7
"AHSA2P",1,1,1,2,1,2
"USP34",4,5,5,5,3,4
"XPO1",194,200,200,87,78,74
"XPO1",1,0,1,0,0,1
"FAM161A",2,2,7,4,4,3
"FAM161A",0,0,2,0,0,3
"CCT4",319,275,278,195,195,173
"LINC01247",13,9,10,7,5,5
"B3GNT2",15,1,8,5,4,6
"TMEM17",3,5,4,0,1,3
"TMEM17",0,1,0,1,1,1
"TMEM17",5,2,3,2,1,0
"TMEM17",2,1,0,0,2,1
"EHBP1",1,0,1,0,0,0
"OTX1",7,3,3,3,1,2
"MDH1",78,60,73,37,49,36
"UGP2",0,0,0,0,0,1
"UGP2",28,23,22,21,18,14
"VPS54",580,640,551,344,349,373
"VPS54",24,25,22,26,15,22
"VPS54",102,75,72,45,60,34
"VPS54",3,7,3,1,0,1
"PELI1",73,59,59,63,46,59
"PELI1",17,20,19,13,6,11
"PELI1",0,5,2,1,2,0
"LINC00309",0,1,0,0,0,0
"LOC100507006",0,0,0,0,0,0
"LOC100507006",5,1,0,2,6,5
"LGALSL",4,8,11,8,7,7
"AFTPH",8,4,2,1,1,0
"MIR4434",10,9,6,4,5,4
"SERTAD2",13,17,12,14,10,15
"SERTAD2",0,0,0,0,0,0
"LINC01800",2,2,0,1,0,0
"SLC1A4",39,19,29,23,19,18
"RAB1A",86,95,71,53,68,59
"ACTR2",256,224,213,140,171,171
"SPRED2",19,16,11,17,11,9
"SPRED2",16,12,20,12,8,8
"SPRED2",43,22,16,5,21,18
"SPRED2",2,6,5,2,1,5
"SPRED2",2,0,0,0,0,0
"LINC01798",5,5,2,4,1,5
"LINC01828",1,0,2,0,0,1
"LINC01828",1,2,1,1,1,0
"ETAA1",114,103,98,42,45,48
"ETAA1",33,36,45,20,20,19
"ETAA1",0,0,0,4,0,0
"ETAA1",0,1,1,0,0,0
"ETAA1",0,0,0,1,0,0
"ETAA1",1,1,1,0,0,0
"PNO1",84,83,90,85,80,85
"PPP3R1",5,2,1,2,3,2
"APLF",2,3,1,2,2,0
"NFU1",30,22,19,18,15,11
"SNORA36C",10,8,10,15,13,12
"SNORA36C",13,10,18,11,9,8
"ANXA4",8,1,7,7,4,4
"ANXA4",1,1,3,0,1,0
"ANXA4",23,25,22,20,20,34
"ANXA4",113,113,108,99,97,77
"ANXA4",13,18,11,17,14,18
"GMCL1",8,6,12,9,6,2
"SNRNP27",12,11,18,3,8,10
"MXD1",3,1,2,1,1,0
"PCBP1-AS1",50,36,42,32,34,25
"LINC01816",3,2,0,1,3,2
"LINC01816",0,3,2,3,0,2
"LINC01816",1,0,0,1,3,2
"LINC01816",0,0,0,0,1,1
"C2orf42",1,2,3,0,1,2
