"Gene.Name","EV-R1","EV-R2","EV-R3","KO-R1","KO-R2","KO-R3"
"PRCC",7,12,8,16,13,9
"PLEKHM2",0,0,0,0,0,0
"ARHGEF11",1,1,1,0,0,0
"ETV3",16,3,7,9,10,12
"SSU72",13,9,9,6,7,6
"FBLIM1",12,10,11,1,2,3
"KIRREL1",0,0,0,1,0,0
"KIRREL1",16,7,16,4,4,11
"KIRREL1-IT1",11,10,15,5,4,8
"SPEN",22,20,25,6,14,15
"SPEN",1,3,3,2,1,1
"OR10J1",0,0,0,0,0,0
"OR10J5",1,2,1,0,0,0
"APCS",0,0,0,0,0,0
"DCAF8",33,40,36,23,35,31
"PEX19",15,5,11,4,9,9
"NCSTN",121,134,105,97,124,115
"F11R",8,8,7,17,9,7
"F11R",3,9,3,3,4,5
"USF1",55,48,56,46,50,42
"NIT1",32,48,29,44,62,42
"DEDD",13,10,5,5,8,7
"UFC1",284,228,226,234,228,212
"USP21",5,5,2,8,2,3
"B4GALT3",11,6,6,6,6,3
"NDUFS2",111,105,110,59,70,72
"FCER1G",2,1,1,5,3,7
"APOA2",1,1,1,0,0,1
"SDHC",14,8,9,10,11,11
"CFAP126",6,11,12,9,10,7
"FCGR2A",1,3,2,0,0,0
"FCGR2A",0,0,0,0,0,0
"EPHA2",19,12,18,7,9,9
"MIB2",36,24,23,19,25,22
"EPHA2",69,41,48,29,26,18
"DUSP12",73,48,53,43,43,45
"EPHA2",1,0,1,0,0,0
"EPHA2",2,3,0,4,0,0
"NOS1AP",4,0,6,2,5,1
"MIR4654",3,3,4,4,2,12
"MIR4654",3,0,3,5,6,2
"MIR4654",6,1,1,3,3,1
"UHMK1",85,74,67,81,84,77
"UAP1",4,6,8,3,6,3
"CCDC190",0,0,0,0,1,0
"MMP23B",9,4,17,4,5,4
"NUF2",19,29,15,8,14,15
"FBXO42",34,33,25,17,23,19
"SZRD1",10,11,23,5,5,10
"PBX1",0,0,0,0,1,0
"PBX1",0,0,0,1,0,1
"PBX1",15,7,7,23,15,10
"LOC100505795",5,6,4,9,9,8
"MGST3",9,6,10,4,5,2
"ALDH9A1",33,35,25,41,43,31
"TMCO1-AS1",123,110,106,99,121,92
"UCK2",3,6,4,2,6,6
"UCK2",20,19,14,35,18,21
"CDK11B",24,18,22,9,8,16
"NBPF1",8,5,4,2,6,1
"RNU1-3",0,0,0,0,0,0
"POGK",51,25,23,29,34,30
"TADA1",14,22,12,13,15,11
"POU2F1",5,9,5,9,2,4
"MPZL1",0,3,3,1,3,0
"ADCY10",267,223,218,271,343,290
"MPC2",21,33,34,47,43,50
"DCAF6",20,10,21,15,15,6
"TIPRL",41,39,36,22,34,32
"SFT2D2",121,94,113,108,101,86
"LOC101928565",16,17,29,19,19,15
"XCL2",13,13,14,9,11,8
"XCL2",45,18,33,21,18,25
"DPT",1,2,0,0,3,1
"DPT",1,2,1,1,0,1
"LINC00626",0,2,0,0,2,1
"LINC00626",0,0,0,0,2,0
"LINC00626",1,0,0,0,0,0
"RNU1-3",30,26,32,42,63,59
"ATP1B1",64,62,74,66,48,51
"ATP1B1",57,51,50,35,24,38
"BLZF1",9,15,11,9,8,8
"SLC19A2",4,4,10,9,8,9
"SLC19A2",2,3,6,6,4,1
"F5",18,13,13,26,8,13
"F5",19,27,29,38,25,34
"F5",18,6,9,9,5,9
"F5",32,22,31,25,20,18
"C1orf112",29,30,17,15,27,16
"SCYL3",3,6,7,13,9,7
"GORAB",24,22,14,13,15,8
"GORAB-AS1",19,17,26,19,15,29
"PRRX1",11,7,13,1,2,1
"PRRX1",2,2,1,1,1,2
"FMO6P",11,10,14,20,9,11
"FMO6P",9,8,9,16,10,8
"TOP1P1",4,6,4,3,4,4
"PRRC2C",278,219,195,246,207,194
"EEF1AKNMT",1,0,1,1,1,1
"MIR3120",0,2,0,0,0,0
"C1orf105",3,6,6,2,4,0
"C1orf105",10,12,9,1,1,4
"C1orf105",18,18,20,7,8,4
"PIGC",30,34,26,18,24,24
"C1orf105",4,1,2,2,3,2
"C1orf105",0,0,0,0,2,0
"SUCO",0,0,0,2,1,1
"SUCO",15,12,11,7,15,11
"TNFSF18",1,0,0,0,0,0
"TNFSF18",1,0,0,0,1,0
"TNFSF18",1,2,1,3,1,1
"TNFSF4",0,0,0,0,1,2
"LOC100506023",10,6,5,10,15,11
"PRDX6",0,0,1,0,2,1
"PRDX6",0,0,0,0,1,0
"KLHL20",5,3,4,10,13,3
"CENPL",65,53,40,42,43,50
"ZBTB37",1,1,1,4,2,2
"RC3H1",38,26,34,26,23,22
"RABGAP1L-DT",1,1,0,3,0,0
"RCC2",146,58,89,46,46,48
"CACYBP",39,38,27,33,34,28
"MRPS14",4,4,3,3,0,2
"ARHGEF10L",6,6,4,2,4,2
"ARHGEF10L",44,41,36,41,34,31
"NADK",13,13,13,7,12,6
"ARHGEF10L",78,73,84,57,57,41
"COP1",9,3,11,7,7,4
"COP1",8,7,7,4,8,6
"NADK",5,4,5,8,3,4
"SEC16B",4,6,4,8,11,15
"CRYZL2P-SEC16B",2,1,1,2,2,3
"CRYZL2P",4,1,1,2,1,3
"CRYZL2P",0,0,0,0,0,0
"RASAL2-AS1",7,6,10,14,7,8
"RASAL2",17,14,11,32,25,21
"NADK",5,7,8,0,6,1
"C1orf220",0,0,0,0,0,0
"C1orf220",15,10,8,2,10,7
"RALGPS2",4,9,13,6,15,8
"ANGPTL1",223,221,210,157,168,187
"ANGPTL1",275,250,231,202,197,224
"FAM20B",7,4,6,7,5,5
"TOR3A",21,21,17,17,19,11
"TOR3A",6,5,9,5,4,1
"ABL2",9,6,4,9,7,9
"ABL2",22,23,16,20,21,17
"SOAT1",103,78,77,79,99,115
"AXDND1",0,1,1,0,3,1
"TOR1AIP1",76,56,49,61,66,48
"CEP350",10,10,20,13,7,20
"ACBD6",33,29,16,16,14,20
"XPR1",39,26,31,25,18,18
"IER5",3,1,1,1,4,1
"IER5",1,2,0,1,0,0
"LINC01344",0,1,0,0,0,1
"GLUL",218,199,202,217,268,197
"LOC647070",131,106,124,102,113,109
"LAMC1",0,0,0,0,0,0
"LAMC1",754,563,577,606,563,513
"LAMC1-AS1",36,39,15,38,24,29
"SMG7-AS1",12,10,14,17,10,15
"NCF2",14,5,12,5,12,9
"ARPC5",340,294,260,240,307,253
"APOBEC4",2,1,0,2,0,5
"RGL1",2,2,5,2,3,0
"TSEN15",40,23,28,29,38,37
"EDEM3",7,5,5,8,2,4
"EDEM3",0,0,0,1,2,0
"TRMT1L",6,6,7,4,5,5
"IVNS1ABP",26,27,27,15,28,24
"LINC01350",0,0,0,0,0,0
"LINC01350",1,3,1,0,0,2
"LINC01350",0,0,0,0,1,0
"LINC01350",1,1,0,0,0,0
"HMCN1",0,1,2,2,2,0
"TPR",38,32,32,35,37,31
"PLA2G4A",0,0,0,0,0,0
"LINC01037",0,0,0,0,1,0
"LINC01037",0,0,0,1,1,0
"ALDH4A1",4,3,5,8,2,6
"ALDH4A1",2,0,1,2,1,1
"GNB1",31,21,12,15,18,11
"BRINP3",0,0,1,2,0,0
"BRINP3",0,0,0,0,1,0
"BRINP3",0,0,0,1,0,0
"BRINP3",2,1,0,1,1,0
"BRINP3",0,0,0,2,0,1
"CALML6",1,1,0,0,0,1
"EMC1-AS1",20,11,16,19,20,8
"EMC1",67,55,45,33,33,22
"RGS13",0,0,0,0,0,0
"MIR4426",4,2,0,0,2,1
"RGS2",35,38,37,25,50,30
"UCHL5",53,43,49,34,38,26
"CDC73",12,18,21,13,12,13
"LINC01031",0,0,0,0,0,0
"LINC01031",3,0,2,3,1,0
